id,miss
348,0.001217
349,0.001352
350,0.001613
351,0.001079
352,0.001589
353,0.000025
354,0.001674
355,0.001534
356,0.001805
357,0.000865
358,0.001222
359,0.001150
360,0.000604
361,0.000852
362,0.001075
363,0.001208
364,0.000004
365,0.000629
366,0.000682
367,0.000849
368,0.000280
369,0.000595
370,0.000579
371,0.000468
372,0.000587
373,0.000184
374,0.000859
375,0.000529
376,0.000085
377,0.000684
378,0.000928
379,0.001299
380,0.000879
381,0.000578
382,0.000860
383,0.000382
384,0.000467
385,0.000929
386,0.001247
387,0.000436
388,0.001108
389,0.001063
390,0.000756
391,0.000788
392,0.000486
393,0.000111
394,0.000295
395,0.000495
396,0.000687
397,0.000238
398,0.000841
399,0.000311
400,0.000783
401,0.000428
402,0.000247
403,0.000835
404,0.000822
405,0.001505
406,0.001393
407,0.000952
408,0.000674
409,0.001408
410,0.001197
411,0.000249
412,0.000556
413,0.001351
414,0.000641
415,0.001038
416,0.000625
417,0.001106
418,0.001116
419,0.001075
420,0.000733
421,0.001233
422,0.000853
423,0.001486
424,0.000320
425,0.001696
426,0.000543
427,0.001219
428,0.001325
429,0.000936
430,0.000731
431,0.000724
432,0.001143
433,0.001040
434,0.000164
435,0.001041
436,0.000685
437,0.001027
438,0.001565
439,0.001552
440,0.001511
441,0.000650
442,0.000323
443,0.001491
444,0.000079
445,0.000602
446,0.000070
447,0.000746
448,0.001486
449,0.001207
450,0.000756
451,0.001633
452,0.001514
453,0.001584
454,0.001700
455,0.001678
456,0.001670
457,0.001227
458,0.000700
459,0.000671
460,0.000045
461,0.001204
462,0.001487
463,0.000341
464,0.001072
465,0.001467
466,0.001596
467,0.001434
468,0.001082
469,0.001082
470,0.001515
471,0.001454
472,0.000347
473,0.000186
474,0.001183
475,0.001658
476,0.001082
477,0.000480
478,0.000951
479,0.001145
480,0.000415
481,0.001231
482,0.001084
483,0.001730
484,0.001608
485,0.000240
486,0.001223
487,0.001549
488,0.001490
489,0.000787
490,0.001035
491,0.000702
492,0.001195
493,0.000811
494,0.001320
495,0.000695
496,0.001107
497,0.001525
498,0.000276
499,0.001592
500,0.001213
501,0.000998
502,0.001230
503,0.001559
504,0.000066
505,0.001545
506,0.001135
507,0.001225
508,0.001447
509,0.001160
510,0.001281
511,0.001136
512,0.001476
513,0.001329
514,0.001760
515,0.001528
516,0.001414
517,0.001487
518,0.001535
519,0.001502
520,0.001300
521,0.000391
522,0.000733
523,0.000583
524,0.001661
525,0.001365
526,0.001107
527,0.001495
528,0.001203
529,0.001073
530,0.001437
531,0.001582
532,0.000704
533,0.000826
534,0.000864
535,0.001429
536,0.001552
537,0.001180
538,0.001457
539,0.001640
540,0.000857
541,0.001562
542,0.000479
543,0.001084
544,0.000827
545,0.000989
546,0.001487
547,0.001128
548,0.001702
549,0.001058
550,0.001334
551,0.000063
552,0.001276
553,0.000065
554,0.001326
555,0.000869
556,0.000008
557,0.000759
558,0.001354
559,0.001700
560,0.001457
561,0.001047
562,0.001275
563,0.000608
564,0.000750
565,0.001479
566,0.001712
567,0.000656
568,0.000923
569,0.001685
570,0.000728
571,0.000893
572,0.000738
573,0.000814
574,0.000607
575,0.001453
576,0.000714
577,0.000736
578,0.001294
579,0.000796
580,0.000917
581,0.000808
582,0.000792
583,0.000519
584,0.000507
585,0.000921
586,0.001613
587,0.001656
588,0.001348
589,0.001238
590,0.001650
591,0.001521
592,0.001490
593,0.001428
594,0.001266
595,0.000773
596,0.000877
597,0.000022
598,0.000488
599,0.000705
600,0.000645
601,0.001224
602,0.000144
603,0.000077
604,0.001147
605,0.001504
606,0.000397
607,0.001520
608,0.001660
609,0.000989
610,0.000086
611,0.001064
612,0.000481
613,0.001433
614,0.001627
615,0.000049
616,0.001523
617,0.001711
618,0.001566
619,0.001566
620,0.001542
621,0.001702
622,0.001419
623,0.000027
624,0.001573
625,0.001709
626,0.001558
627,0.000105
628,0.001465
629,0.001668
630,0.000757
631,0.001433
632,0.001691
633,0.001632
634,0.000851
635,0.001358
636,0.000137
637,0.000721
638,0.001142
639,0.000839
640,0.001509
641,0.000755
642,0.000732
643,0.001372
644,0.001510
645,0.001217
646,0.000022
647,0.001020
648,0.001068
